term_id,source_language,source_term,target_language,preferred_target,rejected_or_variant,scope,status,rationale
AGT-0001,de,algebraische Kurve,id-ID,kurva aljabar,kurva algebraik,whole_lane,admitted,Established Indonesian mathematical usage and direct transparent rendering
AGT-0002,de,ebene algebraische Kurve,id-ID,kurva aljabar bidang,kurva aljabar datar,Brenner,admitted,Uses bidang consistently for the affine plane
AGT-0003,de,affin,id-ID,afin,affine,whole_lane,admitted,Standard Indonesian spelling
AGT-0004,de,Grundkörper,id-ID,lapangan dasar,medan dasar,whole_lane,admitted,Representative Indonesian algebraic-geometry and commutative-algebra papers use lapangan consistently and do not use medan
AGT-0005,de,Polynomring,id-ID,gelanggang polinomial,cincin polinomial,whole_lane,admitted,Uses the established ring=gelanggang convention
AGT-0006,de,Nullstellengebilde,id-ID,lokus nol,himpunan akar,Brenner,admitted,Geometric zero locus rather than merely a list of scalar roots
AGT-0007,de,Lösungsmenge,id-ID,himpunan solusi,,whole_lane,admitted,Direct mathematical usage
AGT-0008,de,algebraisch abgeschlossen,id-ID,tertutup secara aljabar,tertutup aljabar,whole_lane,admitted,Explicit adverb avoids ambiguity
AGT-0009,de,irreduzibel,id-ID,tak tereduksi,ireduksibel,whole_lane,admitted,Transparent standard mathematical rendering
AGT-0010,de,rationale Funktion,id-ID,fungsi rasional,,whole_lane,admitted,Established Indonesian usage
AGT-0011,de,Pol,id-ID,kutub,,whole_lane,admitted,Established complex-analysis and algebraic-geometry usage
AGT-0012,de,Fundamentalsatz der Algebra,id-ID,teorema dasar aljabar,,whole_lane,admitted,Established theorem name
AGT-0013,en,scheme,id-ID,skema,,scheme_bridge,admitted,Established Indonesian mathematical borrowing
AGT-0014,en,affine scheme,id-ID,skema afin,skema affine,scheme_bridge,admitted,Matches the admitted spelling afin
AGT-0015,en,structure sheaf,id-ID,berkas struktur,,scheme_bridge,provisional,Must remain consistent with the later sheaf module
AGT-0016,en,stalk,id-ID,tangkai,,whole_lane,admitted,Admitted at the complete Unit 15 construction as the local colimit of section rings
AGT-0017,en,locally ringed space,id-ID,ruang bergelanggang lokal,,scheme_bridge,provisional,Compositional terminology pending first translated use
AGT-0018,en,gluing data,id-ID,data pengeleman,data perekatan,scheme_bridge,provisional,Select final form during original supplement drafting
AGT-0019,de,Zariski-Topologie,id-ID,topologi Zariski,,Brenner,admitted,Standard eponym retained and consistently capitalized
AGT-0020,de,Verschwindungsideal,id-ID,ideal pelenyapan,ideal lenyap,Brenner,admitted,Names the ideal of functions vanishing on a set and matches the reader definition
AGT-0021,de,Radikalideal,id-ID,ideal radikal,,Brenner,admitted,Transparent established commutative-algebra rendering
AGT-0022,de,nilpotentes Element,id-ID,unsur nilpoten,elemen nilpoten,Brenner,admitted,Uses unsur consistently for ring elements
AGT-0023,de,reduzierter Ring,id-ID,gelanggang tereduksi,cincin tereduksi,Brenner,admitted,Uses the established ring=gelanggang convention
AGT-0024,de,Zariski-Abschluss,id-ID,penutupan Zariski,,Brenner,admitted,Standard topological term with the eponym retained
AGT-0025,de,irreduzible Komponente,id-ID,komponen tak tereduksi,komponen ireduksibel,Brenner,admitted,Composes with the admitted rendering of irreduzibel
AGT-0026,de,Primideal,id-ID,ideal prima,,Brenner,admitted,Established commutative-algebra usage
AGT-0027,de,Quotientenkörper,id-ID,lapangan pecahan,medan pecahan; lapangan hasil bagi,Brenner,admitted,Distinguishes a field of fractions from a quotient ring while following evidence-backed field equals lapangan convention
AGT-0028,de,rationaler Funktionenkörper,id-ID,lapangan fungsi rasional,medan fungsi rasional,Brenner,admitted,Established algebraic-geometry usage with evidence-backed field equals lapangan convention
AGT-0029,de,Integritätsbereich,id-ID,domain integral,,Brenner,admitted,Established abstract-algebra usage
AGT-0030,de,Restklassenring,id-ID,gelanggang faktor,gelanggang hasil bagi; gelanggang residu,Brenner,admitted,Directly attested in the representative Indonesian commutative-algebra paper for quotient rings
AGT-0031,de,faktorieller Integritätsbereich,id-ID,domain faktorisasi tunggal,domain faktorial,Brenner,admitted,Expands the UFD property transparently
AGT-0032,de,Hauptidealbereich,id-ID,domain ideal utama,,Brenner,admitted,Established rendering of principal ideal domain
AGT-0033,de,abgeschlossene Abbildung,id-ID,pemetaan tertutup,,Brenner,admitted,Standard topological terminology
AGT-0034,de,offene Abbildung,id-ID,pemetaan terbuka,,Brenner,admitted,Standard topological terminology
AGT-0035,de,zusammenhängend,id-ID,terhubung,,Brenner,admitted,Standard topological terminology
AGT-0036,de,homogene Komponente,id-ID,komponen homogen,,Brenner,admitted,Direct compositional term for graded polynomial decomposition
AGT-0037,de,homogenes Polynom,id-ID,polinom homogen,,Brenner,admitted,Established polynomial terminology used throughout Unit 5
AGT-0038,de,Gesamtgrad,id-ID,derajat total,,Brenner,admitted,Distinguishes total degree from degree in one variable
AGT-0039,de,Noethersche Normalisierung,id-ID,normalisasi Noether,,Brenner,admitted,Standard eponymous algebraic-geometry term
AGT-0040,de,polynomiale Abbildung,id-ID,pemetaan polinomial,,Brenner,admitted,Consistent with the established map equals pemetaan convention
AGT-0041,de,affin-lineare Äquivalenz,id-ID,ekuivalensi afin-linear,,Brenner,admitted,Preserves the affine-linear qualifier used in the source definition
AGT-0042,de,ganze Ringerweiterung,id-ID,perluasan gelanggang integral,,Brenner,admitted,Names the integral ring extension in the Noether-normalization interpretation
AGT-0043,de,polynomiale Parametrisierung,id-ID,parametrisasi polinomial,parameterisasi polinomial,Brenner,admitted,Matches the established parametrisasi usage and distinguishes the component class
AGT-0044,de,rationale Parametrisierung,id-ID,parametrisasi rasional,parameterisasi rasional,Brenner,admitted,Standard algebraic-geometry term paired with rational functions
AGT-0045,de,rationale Kurve,id-ID,kurva rasional,,Brenner,admitted,Standard name for an irreducible curve admitting a rational parametrization
AGT-0046,de,Homogenisierung,id-ID,homogenisasi,,Brenner,admitted,Established polynomial operation and counterpart of dehomogenisasi
AGT-0047,de,Dehomogenisierung,id-ID,dehomogenisasi,,Brenner,admitted,Established inverse-on-homogenizations operation given by setting the added variable to one
AGT-0048,de,differenzierbare Kurve,id-ID,kurva terdiferensial,kurva dapat didiferensialkan,Brenner,admitted,Concise standard rendering for the analysis-side comparison
AGT-0049,de,Definitionsbereich,id-ID,domain definisi,daerah definisi,Brenner,admitted,Uses domain consistently for the locus where rational components are defined
AGT-0050,de,Satz über implizite Funktionen,id-ID,teorema fungsi implisit,,Brenner,admitted,Standard analysis terminology retained in the local-parametrization note
AGT-0051,de,Kegelschnitt,id-ID,irisan kerucut,konik,Brenner,admitted,Preserves the geometric conic-section meaning and remains consistent across Unit 7
